Company Name,Industry,City,Address,Website,Phone,Email,CEO/Owner Name,Status,Source
Red Hill Clinic,Medical / Clinic,Durban,"162 Firwood Road Red Hill, Durban",,+27 31 564 1211;+27 31 564 5384;+27 31 322 9786,,,New,OpenStreetMap
Durban Eye & Laser Clinic,Medical / Clinic,Durban,,,,,,New,OpenStreetMap
Usizo Lwethu Afrisun Clinic,Medical / Clinic,Durban,,,,,,New,OpenStreetMap
Medigate Medical Centre 2,Medical / Clinic,Durban,"Medigate Road Umhlanga Ridge, Durban",,,,,New,OpenStreetMap
Medicross Pinetown,Medical / Clinic,Durban,"2 Meller Road New Germany, Pinetown",,+27 31 709 3070,,,New,OpenStreetMap
Stonebridge Clinic,Medical / Clinic,Durban,,,,,,New,OpenStreetMap
Newkwa Medical Centre,Medical / Clinic,Durban,909-913 Inanda Road Durban,http://newkwa.co.za/,+27 31 577 2765,,,New,OpenStreetMap
Redhill Clinic,Medical / Clinic,Durban,"162 Firwood Road Red Hill, Durban",,,,,New,OpenStreetMap
Medwell SA,Medical / Clinic,Durban,,,,,,New,OpenStreetMap
Rawson,Real Estate,Johannesburg,,,,,,New,OpenStreetMap
Shain Properties,Real Estate,Johannesburg,121 Boundary Lane Parkmore,https://shainproperties.co.za/,+27 82 6043501,michael@shainproperties.co.za,,New,OpenStreetMap
Bayport,Real Estate,Johannesburg,,,,,,New,OpenStreetMap
OPH Head Office,Real Estate,Johannesburg,,,,,,New,OpenStreetMap
Nsikelelo,Real Estate,Johannesburg,1222 Maputo Street,,+27 10 224 0666,info@nsikelelo.co.zw,,New,OpenStreetMap
City Property Administration,Real Estate,Johannesburg,19 Loveday Street Johannesburg,https://www.cityproperty.co.za/,+27 11 378 3200,,,New,OpenStreetMap
Angela Kernot Realty,Real Estate,Johannesburg,Bridge Shopping centre,https://www.angelakernot.com,+27 11 804 1730,kernot@mweb.co.za,,New,OpenStreetMap
Chas Everitt,Real Estate,Johannesburg,,,,,,New,OpenStreetMap
Moore,Accounting,Johannesburg,,https://www.moore-southafrica.com/locations/moore-johannesburg-inc,+27 10 599 0222,,,New,OpenStreetMap
