Company Name,Industry,City,Address,Website,Phone,Email,Email Status,CEO/Owner Name,Status,Source
Westville,Retail / Grocery,Durban,14 Northcliffe Avenue Westville,https://locksmithswestville.com/,+27740353113,info@locksmithswestville.com,Found on listing,,New,OpenStreetMap
Nando's,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Pavillion Shopping Centre,Retail / Grocery,Durban,,,,,,,New,OpenStreetMap
Pick n Pay,Retail / Grocery,Durban,Durban,,+27 31 301 4043,workshop@pnp.co.za,Found on listing,,New,OpenStreetMap
Spar,Retail / Grocery,Durban,,,,,,,New,OpenStreetMap
Woolworths Food,Retail / Grocery,Durban,,,,,,,New,OpenStreetMap
Silver Oaks Boutique Hotel,Hospitality / Hotel,Durban,17 Silverton Road,,,,,,New,OpenStreetMap
Westville mall,Retail / Grocery,Durban,,,,,,,New,OpenStreetMap
Daruma,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
LEGiT,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Clippers,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Truworths,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
PEP,Retail / Fashion,Durban,55 Gillespie Street Durban,,+27 31 332 2717,,,,New,OpenStreetMap
Ocean Basket,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
NV Clothing,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Galito's,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Chicken Tikka Palace,Hospitality / Restaurant,Durban,4 Doctor Pixley Kaseme Street Durban,,+27 31 337 9460,,,,New,OpenStreetMap
Piatto,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Daniel Hechter,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Mr Price,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Discom,Retail / Grocery,Durban,,,,,,,New,OpenStreetMap
Jam,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
MacRib,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Jiran,Hospitality / Cafe,Durban,,,,,,,New,OpenStreetMap
Dunns,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Garden Grill Restaurant,Hospitality / Restaurant,Durban,73 O.R. Tambo Parade Durban,,+27 31 337 2231,,,,New,OpenStreetMap
Linda's Boutique,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Alpha Pharm,Medical / Pharmacy,Durban,,,,,,,New,OpenStreetMap
nino's,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Centre Court,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
News Cafe,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Govender's House of Curries,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Suncoast Towers,Hospitality / Hotel,Durban,20 Battery Beach Road Durban,https://www.tsogosun.com/hotel/suncoast-towers-hotel/,+27 31 314 7878,suncoasthotel.reservations@tsogosun.com,Found on listing,,New,OpenStreetMap
Mugg & Bean,Hospitality / Cafe,Durban,,,+27 31 332 5044,,,,New,OpenStreetMap
Mimmos,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
Pirana,Retail / Fashion,Durban,,,,,,,New,OpenStreetMap
Butterworth,Hospitality / Hotel,Durban,,,,,,,New,OpenStreetMap
Road Lodge,Hospitality / Hotel,Durban,,https://clhg.com/hotels/315/Road-Lodge-Durban,+27 31 304 8202,clairport.gm@citylodgehotels.com,Found on site,,New,OpenStreetMap
Cape Town Fish Market,Hospitality / Restaurant,Durban,,,,,,,New,OpenStreetMap
